,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NEW PC REGISTRATIONS OR SALES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Estimated figures,,,,,,,,,,,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,INDONESIA,,,,"3,64,319","2,22,387","3,14,769","4,25,267","3,59,367","5,41,475","6,02,291","7,80,785","8,80,032","8,79,461",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,IRAK,,,,"2,000","5,000","4,000","20,000","35,000","65,000","71,500","80,000","78,200","61,000",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,IRAN,,,,"7,30,000","8,50,000","9,00,000","10,00,000","11,00,000","14,10,403","14,52,965","9,01,268","6,91,709","11,06,700",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,ISRAEL,,,,"1,30,000","1,30,000","2,00,000","1,70,000","1,60,000","2,00,000","2,10,000","1,90,000","2,00,000","2,28,000",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,JAPAN,,,,"47,48,482","46,12,318","43,25,508","41,84,266","39,05,310","42,03,181","35,09,036","45,72,333","45,62,282","46,99,590",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,JORDAN,,,,"10,000","5,000","5,000","9,000","10,500","10,000","11,000","11,500","14,500","15,700",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,KAZAKSTAN,,#DIV/0!,,"39,800","39,100","39,500","39,000","40,000","24,000","38,348","86,959","1,53,664","1,51,424",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,KIRGHIZISTAN,,,,"5,000","5,000","5,000","4,000","4,500","4,000","5,000","4,000","4,000","4,000",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,KUWAIT,,,,"50,000","65,000","70,000","80,000","90,000","90,000","95,000","1,16,500","1,25,000","1,26,300",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,LAOS,,,,"1,000","1,000","1,500","2,000","3,000","4,000","4,000","5,000","6,000","9,800",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,LEBANON,,,,"15,000","15,000","20,000","33,000","32,000","33,000","31,000","35,500","35,500","38,300",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,MALAYSIA,,,,"4,10,892","3,74,169","4,42,885","4,97,459","4,86,342","5,43,594","5,35,113","5,52,189","5,76,657","5,88,341",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,MONGOLIA,,,,500,500,"1,000","3,000","3,000","3,000","3,000","2,000","1,500","1,100",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,MYANMAR,,,,"1,000","1,000","1,000","1,200","1,500","1,800","1,800","2,100","2,000","1,000",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,NEPAL,,,,"1,000","1,000","2,000","1,500","2,000","1,000","3,000","3,600","3,500","5,300",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,NEW CALEDONIA,,,,"7,397","7,251","7,717","7,853","7,246","7,354","7,525","7,250","5,934","5,343",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,NEW ZEALAND,,,,"77,825","76,804","77,454","73,397","54,404","62,029","63,471","76,871","82,433","84,007",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,OMAN,,,,"1,48,100","1,45,400","1,46,700","1,45,000","1,05,000","1,15,000","1,15,000","1,30,000","1,40,000","1,38,600",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,PAKISTAN,,,,"1,41,326","1,60,256","1,59,457","1,27,863","94,437","1,30,038","1,40,184","1,36,026","1,21,122","1,23,950",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,PALESTINE,,,,"13,500","15,700","16,400","18,400","13,400","17,400","19,700","21,600","21,100","21,100",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,PHILIPPINES,,,,"35,063","38,131","41,107","44,313","46,111","59,623","57,768","64,165","76,822","1,08,327",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,QATAR,,,,"61,200","60,100","60,700","60,000","40,000","40,000","45,000","60,000","65,000","71,500",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,SAUDI ARABIA,,,,"4,08,700","4,01,100","4,04,800","4,00,000","3,90,000","4,50,000","4,60,000","5,40,000","5,70,000","6,32,700",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,SINGAPORE,,,,"1,09,167","1,16,849","1,10,814","1,00,979","73,183","47,273","33,493","32,724","27,955","28,932",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,SOUTH KOREA,,,,"8,93,159","9,32,650","10,10,790","10,17,595","12,21,118","12,37,482","12,93,501","12,56,403","12,43,868","13,59,834",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,SRI LANKA,,,,"2,600","2,800","2,900","3,000","3,000","2,000","7,000","8,000","10,000","13,800",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,SYRIA,,,,"32,985","45,467","36,000","42,000","46,000","78,147","33,160","36,300","35,500","33,400",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,TADJIKISTAN,,,,"5,300","5,700","5,800","6,000","7,000","6,500","7,500","6,000","6,000","6,100",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,TAHITI,,,,"5,200","5,100","5,400","5,000","3,500","3,500","4,000","3,000","2,500","2,500",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,TAIWAN,,,,"3,25,840","2,18,610","2,13,327","1,41,161","1,87,262","2,08,300","2,35,205","2,11,578","2,11,824","2,35,480",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,THAILAND,,,,"1,78,291","1,84,544","1,72,321","2,26,805","2,30,037","3,46,644","3,60,441","6,60,214","6,63,746","4,11,402",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,TUKMENISTAN,,,,"3,900","4,200","4,300","4,500","4,500","4,500","5,000","4,500","4,500","4,600",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,UNITED ARAB EMIRATES,,,,"1,37,000","1,50,000","1,35,000","1,91,544","90,238","1,36,979","1,93,268","2,11,500","2,06,700","2,06,700",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,UZBEKISTAN,,,,"28,500","31,100","31,700","43,000","45,000","43,500","48,000","45,000","45,500","46,000",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,VIETNAM,,,,"24,888","23,335","40,115","50,877","62,722","57,778","64,564","44,070","59,857","79,806",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,YEMEN,,,,"4,000","4,700","4,800","5,000","5,000","2,000","2,000","2,000","2,000","2,100",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA,ALGERIA,,,,"71,046","81,803","97,239","1,11,753","1,31,259","97,765","1,65,415","1,88,990","2,22,710","1,78,200",,,,,,,,,,,,,,
AFRICA,ANGOLA,,,,"6,000","8,000","3,500","3,500","10,000","20,000","10,000","17,000","20,000","24,000",,,,,,,,,,,,,,
AFRICA,BOTSWANA,,,,"12,905","13,073","16,538","20,037","19,354","20,972","25,204","31,471","31,122","26,500",,,,,,,,,,,,,,
AFRICA,BURKINA,,,,500,500,500,600,550,700,500,500,700,700,,,,,,,,,,,,,,
AFRICA,BURUNDI,,,,500,500,600,700,700,300,200,210,210,200,,,,,,,,,,,,,,
AFRICA,CAMEROON,,,,"1,300","1,400","1,400","1,400","1,400","1,400","1,400","1,900","2,400","2,300",,,,,,,,,,,,,,
AFRICA,CONGO,,,,200,200,200,500,"1,500","1,500","1,500","1,500","1,500","1,500",,,,,,,,,,,,,,
AFRICA,EGYPT,,,,"94,538","1,32,373","1,79,149","2,03,729","1,58,926","1,92,848","2,10,300","2,22,700","2,20,000","2,73,500",,,,,,,,,,,,,,
AFRICA,GABON,,,,800,"1,000","1,200","2,500","2,000","2,000","2,000","3,500","3,000","2,900",,,,,,,,,,,,,,
AFRICA,GHANA,,,,"2,500","3,000","3,500","3,500","4,500","4,000","6,000","6,500","6,600","6,900",,,,,,,,,,,,,,
AFRICA,IVORY COAST,,,,"2,000","2,500","2,000","2,500","3,000","3,500","3,500","5,000","4,000","4,300",,,,,,,,,,,,,,
AFRICA,KENYA,,,,"2,000","3,000","2,000","2,000","5,000","4,000","4,000","2,000","2,500","3,000",,,,,,,,,,,,,,
AFRICA,LIBERIA,,,,300,200,300,300,200,300,200,210,210,200,,,,,,,,,,,,,,
